Column1;movie;year;imdb_ratings;metascore;votes;category;mv_page;genres1;genres2;genres3;stars1;stars2;stars3;rank;nb_oscar;win;nom;runtime;budget;gross
231;Weathering with You;2019;7.6;72;13094;PG-13;https://imdb.com/title/tt9426210/;Animation;Drama;Family;Kotaro Daigo;Nana Mori;Shun Oguri;0;0;4;10;112;;192342575
232;A Hidden Life;2019;7.4;78;13051;PG-13;https://imdb.com/title/tt5827916/;Biography;Drama;Romance;August Diehl;Valerie Pachner;Maria Simon;0;0;7;24;174;;4598239
233;Brittany Runs a Marathon;2019;6.8;72;13002;R;https://imdb.com/title/tt7671064/;Comedy;Drama;;Jillian Bell;Jennifer Dundas;Patch Darragh;0;0;1;5;104;;7442106
234;A Dog's Way Home;2019;6.7;50;12983;PG;https://imdb.com/title/tt7616798/;Adventure;Drama;Family;Ashley Judd;Jonah Hauer-King;Edward James Olmos;0;0;0;2;96;18000000;80708134
235;Lady and the Tramp;2019;6.3;48;12908;PG;https://imdb.com/title/tt8096832/;Adventure;Comedy;Drama;Tessa Thompson;Justin Theroux;Sam Elliott;0;0;0;3;103;;
236;Where'd You Go, Bernadette;2019;6.5;51;12577;PG-13;https://imdb.com/title/tt2365580/;Comedy;Drama;;Cate Blanchett;Billy Crudup;Emma Nelson;0;1;;;109;20000000;10411096
237;The Kitchen;2019;5.4;35;12567;R;https://imdb.com/title/tt5822564/;Action;Crime;Drama;Melissa McCarthy;Tiffany Haddish;Elisabeth Moss;0;0;0;0;102;38000000;15980032
238;Les Misérables;2019;7.6;78;12452;R;https://imdb.com/title/tt10199590/;Crime;Drama;Thriller;Damien Bonnard;Alexis Manenti;Djebril Zonga;0;1;19;47;104;;18600384
239;The Goldfinch;2019;6.2;40;12247;R;https://imdb.com/title/tt3864056/;Drama;;;Oakes Fegley;Ansel Elgort;Nicole Kidman;0;0;0;0;149;45000000;9932621
240;Waves;2019;7.6;80;12117;R;https://imdb.com/title/tt8652728/;Drama;Romance;Sport;Taylor Russell;Kelvin Harrison Jr.;Alexa Demie;0;0;14;38;135;;2044542
241;Unplanned;2019;5.8;10;11959;R;https://imdb.com/title/tt9024106/;Biography;Drama;;Ashley Bratcher;Brooks Ryan;Robia Scott;0;0;6;3;109;6000000;21051915
242;Black and Blue;2019;6.3;54;11829;R;https://imdb.com/title/tt7390646/;Action;Crime;Drama;Naomie Harris;Tyrese Gibson;Frank Grillo;0;0;1;1;108;12000000;22741061
243;The Last Black Man in San Francisco;2019;7.3;83;11475;R;https://imdb.com/title/tt4353250/;Drama;;;Jimmie Fails;Jonathan Majors;Rob Morgan;0;0;14;48;121;;4607017
244;The Intruder;2019;5.6;39;11458;PG-13;https://imdb.com/title/tt6722030/;Drama;Horror;Mystery;Michael Ealy;Meagan Good;Dennis Quaid;0;0;0;0;102;8000000;39832264
245;Earthquake Bird;2019;5.9;51;11212;R;https://imdb.com/title/tt8178486/;Crime;Drama;Mystery;Alicia Vikander;Kiki Sukezane;Kenichi Masuda;0;0;0;0;107;;
246;Batman: Hush;2019;6.9;;11121;PG-13;https://imdb.com/title/tt8752440/;Animation;Action;Adventure;Jason O'Mara;Jennifer Morrison;Stuart Allan;0;0;0;3;81;;
247;Monos;2019;7.0;78;10679;R;https://imdb.com/title/tt6062774/;Adventure;Drama;Thriller;Sofia Buenaventura;Julián Giraldo;Karen Quintero;0;0;25;50;102;;1543694
248;Little Monsters;2019;6.3;59;10448;R;https://imdb.com/title/tt7390588/;Comedy;Horror;;Lupita Nyong'o;Alexander England;Josh Gad;0;0;3;4;93;;130381
249;The Vast of Night;2019;6.7;84;10360;PG-13;https://imdb.com/title/tt6803046/;Drama;Mystery;Sci-Fi;Sierra McCormick;Jake Horowitz;Gail Cronauer;0;0;4;10;91;;
250;Reign of the Supermen;2019;6.8;;10159;PG-13;https://imdb.com/title/tt7167686/;Animation;Action;Adventure;Jerry O'Connell;Rebecca Romijn;Rainn Wilson;0;0;0;3;87;;4223
251;Escape Plan: The Extractors;2019;4.4;;10024;R;https://imdb.com/title/tt6772804/;Action;Crime;Thriller;Sylvester Stallone;Dave Bautista;50 Cent;0;0;0;1;97;;1766092
252;3 from Hell;2019;5.5;50;9790;R;https://imdb.com/title/tt8134742/;Horror;;;Sheri Moon Zombie;Bill Moseley;Sid Haig;0;0;0;2;115;3000000;2295825
253;Knock Down the House;2019;6.9;80;9631;PG;https://imdb.com/title/tt9358052/;Documentary;;;Alexandria Ocasio-Cortez;Cori Bush;Joe Crowley;0;0;6;9;87;;
254;Little;2019;5.4;49;9492;PG-13;https://imdb.com/title/tt8085790/;Comedy;Fantasy;Romance;Regina Hall;Issa Rae;Marsai Martin;0;0;3;6;109;20000000;48987096
255;Polaroid;2019;5.1;;9139;PG-13;https://imdb.com/title/tt5598292/;Drama;Horror;Mystery;Kathryn Prescott;Tyler Young;Samantha Logan;0;0;0;0;88;;2489778
